file,s640,s640_n,anchors,cands,s512,s512_n,s448,s448_n,s640_r0,s640_r0_n,cluster,w,h,mp,votes,cat,disagree
000850.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
3349.jpeg,,0,['까지'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000026.jpg,2025-11-13,1,"['까지', '소비기한']",['2025-11-13'],2025-11-13,1,2025-11-13,1,2025-11-13,1,hires,3024,4032,12.192768,"['2025-11-13', '2025-11-13', '2025-11-13', '2025-11-13']",D_전원일치,0.0
000780.jpeg,2026-04-27,1,[],['2026-04-27'],2026-09-20,1,,0,2026-04-27,1,hires,3024,4032,12.192768,"['2026-04-27', '2026-09-20', None, '2026-04-27']",A_날짜불일치,0.5
000016.jpg,2026-01-22,1,"['까지', '제조일자']",['2026-01-22'],2026-01-22,1,2026-01-22,1,2026-01-22,1,hires,3024,4032,12.192768,"['2026-01-22', '2026-01-22', '2026-01-22', '2026-01-22']",D_전원일치,0.0
000436.jpg,2026-12-12,1,[],['2026-12-12'],2026-02-12,1,,0,2026-12-12,1,hires,3060,4080,12.4848,"['2026-12-12', '2026-02-12', None, '2026-12-12']",A_날짜불일치,0.5
000078.jpg,2025-06-19,1,['제조일자'],['2025-06-19'],2025-06-19,1,2025-06-19,1,2025-06-19,1,hires,3024,4032,12.192768,"['2025-06-19', '2025-06-19', '2025-06-19', '2025-06-19']",D_전원일치,0.0
000148.jpg,2026-02-26,2,[],"['2024-08-27', '2026-02-26']",2026-02-26,2,2026-02-26,2,2026-02-26,2,hires,3024,4032,12.192768,"['2026-02-26', '2026-02-26', '2026-02-26', '2026-02-26']",D_전원일치,0.0
000352.jpg,,0,['까지'],[],,0,2026-08-27,1,,0,hires,3024,4032,12.192768,"[None, None, '2026-08-27', None]",B_검출경계,0.25
000324.jpg,2027-05-15,1,['까지'],['2027-05-15'],2027-05-15,1,2027-05-15,1,2027-05-15,1,hires,3024,4032,12.192768,"['2027-05-15', '2027-05-15', '2027-05-15', '2027-05-15']",D_전원일치,0.0
000851.jpeg,,0,[],[],,0,,1,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000394.jpg,2026-04-14,1,['까지'],['2026-04-14'],2030-04-01,1,2026-04-14,1,2026-04-14,1,hires,3060,4080,12.4848,"['2026-04-14', '2030-04-01', '2026-04-14', '2026-04-14']",A_날짜불일치,0.25
000735.jpg,,0,"['까지', '별도표기', '소비기한', '제조일자']",[],,0,2027-01-12,1,,0,hires,3024,4032,12.192768,"[None, None, '2027-01-12', None]",B_검출경계,0.25
000832.jpeg,,0,['제조일자'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000758.jpg,2026-03-11,1,['까지'],['2026-03-11'],2026-03-11,1,2026-03-11,1,2026-03-11,1,hires,1980,3520,6.9696,"['2026-03-11', '2026-03-11', '2026-03-11', '2026-03-11']",D_전원일치,0.0
3347.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000225.jpg,2026-04-06,1,[],['2026-04-06'],2026-04-06,1,2028-04-03,1,2026-04-06,1,hires,3024,4032,12.192768,"['2026-04-06', '2026-04-06', '2028-04-03', '2026-04-06']",A_날짜불일치,0.25
000134.jpg,,0,"['까지', '별도표기', '제조일자']",[],,0,2025-09-23,1,,0,hires,3024,4032,12.192768,"[None, None, '2025-09-23', None]",B_검출경계,0.25
000775.jpeg,,0,[],[],2015-12-17,1,2025-12-17,1,,0,hires,3024,4032,12.192768,"[None, '2015-12-17', '2025-12-17', None]",A_날짜불일치,0.5
000068.jpg,2026-06-17,1,['까지'],['2026-06-17'],2026-06-17,1,2026-06-17,1,2026-06-17,1,hires,4284,5712,24.470208,"['2026-06-17', '2026-06-17', '2026-06-17', '2026-06-17']",D_전원일치,0.0
000262.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000126.jpg,2026-06-12,1,[],['2026-06-12'],2026-06-12,1,2026-06-12,1,2026-06-12,1,hires,3024,4032,12.192768,"['2026-06-12', '2026-06-12', '2026-06-12', '2026-06-12']",D_전원일치,0.0
000459.jpg,,0,['까지'],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000793.jpeg,,0,[],[],2026-05-06,1,,0,,0,hires,3024,4032,12.192768,"[None, '2026-05-06', None, None]",B_검출경계,0.25
000375.jpg,2026-05-31,1,['까지'],['2026-05-31'],2026-05-31,1,,0,2026-05-31,1,hires,3024,4032,12.192768,"['2026-05-31', '2026-05-31', None, '2026-05-31']",B_검출경계,0.25
000295.jpg,2025-11-08,1,[],['2025-11-08'],2025-11-08,1,2025-11-08,1,2025-11-08,1,hires,3024,4032,12.192768,"['2025-11-08', '2025-11-08', '2025-11-08', '2025-11-08']",D_전원일치,0.0
000640.jpg,2026-02-08,1,['까지'],['2026-02-08'],2026-02-08,1,2026-02-08,1,2026-02-08,1,hires,1980,3520,6.9696,"['2026-02-08', '2026-02-08', '2026-02-08', '2026-02-08']",D_전원일치,0.0
000421.jpg,,0,[],[],2026-07-17,1,,0,,0,hires,3060,4080,12.4848,"[None, '2026-07-17', None, None]",B_검출경계,0.25
000182.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000456.jpg,2025-12-26,1,['제조일자'],['2025-12-26'],,0,,0,2025-12-26,1,hires,3060,4080,12.4848,"['2025-12-26', None, None, '2025-12-26']",B_검출경계,0.5
000037.jpg,2026-07-17,1,[],['2026-07-17'],2026-07-17,1,2026-07-17,1,2026-07-17,1,hires,3024,4032,12.192768,"['2026-07-17', '2026-07-17', '2026-07-17', '2026-07-17']",D_전원일치,0.0
000218.jpg,2026-05-03,1,[],['2026-05-03'],2026-05-03,1,2026-05-03,1,2026-05-03,1,hires,3024,4032,12.192768,"['2026-05-03', '2026-05-03', '2026-05-03', '2026-05-03']",D_전원일치,0.0
000198.jpg,,0,['소비기한'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000347.jpg,2027-05-26,1,"['까지', '소비기한']",['2027-05-26'],2027-05-26,1,2027-05-26,1,2027-05-26,1,hires,3024,4032,12.192768,"['2027-05-26', '2027-05-26', '2027-05-26', '2027-05-26']",D_전원일치,0.0
000844.jpeg,,0,"['까지', '소비기한']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000820.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000175.jpg,2026-06-28,2,"['까지', '부터']","['2025-09-29', '2026-06-28']",2025-09-29,2,2025-09-29,2,2026-06-28,2,hires,3024,4032,12.192768,"['2026-06-28', '2025-09-29', '2025-09-29', '2026-06-28']",A_날짜불일치,0.5
000328.jpg,2025-12-25,1,"['까지', '소비기한']",['2025-12-25'],2025-12-25,1,2025-12-25,1,2025-12-25,1,hires,3024,4032,12.192768,"['2025-12-25', '2025-12-25', '2025-12-25', '2025-12-25']",D_전원일치,0.0
000102.jpg,2025-11-13,1,['까지'],['2025-11-13'],2025-11-13,1,2025-11-13,1,2025-11-13,1,hires,3024,4032,12.192768,"['2025-11-13', '2025-11-13', '2025-11-13', '2025-11-13']",D_전원일치,0.0
000122.jpg,,0,[],[],,0,,0,,0,hires,4032,3024,12.192768,"[None, None, None, None]",C_전원실패,0.0
000219.jpg,2026-09-07,1,['까지'],['2026-09-07'],2026-09-07,1,2026-09-07,1,2026-09-07,1,hires,3024,4032,12.192768,"['2026-09-07', '2026-09-07', '2026-09-07', '2026-09-07']",D_전원일치,0.0
000805.jpeg,,0,['제조일자'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000385.jpg,2026-09-14,2,['부터'],"['2025-09-15', '2026-09-14']",2026-09-14,2,2025-09-15,2,2026-09-14,2,hires,3060,4080,12.4848,"['2026-09-14', '2026-09-14', '2025-09-15', '2026-09-14']",A_날짜불일치,0.25
000646.jpg,,0,[],[],,0,,0,,0,hires,1980,3520,6.9696,"[None, None, None, None]",C_전원실패,0.0
000002.jpg,2025-12-11,1,['까지'],['2025-12-11'],,0,,0,2025-12-11,1,hires,3024,4032,12.192768,"['2025-12-11', None, None, '2025-12-11']",B_검출경계,0.5
000451.jpg,2026-02-27,2,['까지'],"['2025-08-28', '2026-02-27']",2025-08-25,1,,0,2026-02-27,2,hires,3060,4080,12.4848,"['2026-02-27', '2025-08-25', None, '2026-02-27']",A_날짜불일치,0.5
000412.jpg,,0,"['까지', '소비기한', '제조일자']",[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000738.jpg,2026-02-12,1,"['BEST_BEFORE', '까지', '소비기한']",['2026-02-12'],2026-02-12,1,2026-02-12,1,2026-02-12,1,hires,3024,4032,12.192768,"['2026-02-12', '2026-02-12', '2026-02-12', '2026-02-12']",D_전원일치,0.0
000275.jpg,2026-04-23,1,"['까지', '별도표기', '소비기한', '제조일자']",['2026-04-23'],2026-04-23,1,2026-04-23,2,2026-04-23,1,hires,3024,4032,12.192768,"['2026-04-23', '2026-04-23', '2026-04-23', '2026-04-23']",D_전원일치,0.0
000445.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000242.jpg,2028-05-21,2,"['까지', '부터', '소비기한']","['2025-09-22', '2028-05-21']",2028-05-21,2,2025-09-22,1,2028-05-21,2,hires,3024,4032,12.192768,"['2028-05-21', '2028-05-21', '2025-09-22', '2028-05-21']",A_날짜불일치,0.25
000783.jpeg,2025-12-21,1,[],['2025-12-21'],2025-12-21,1,2025-12-21,1,2025-12-21,1,hires,3024,4032,12.192768,"['2025-12-21', '2025-12-21', '2025-12-21', '2025-12-21']",D_전원일치,0.0
000107.jpg,2025-12-25,1,['소비기한'],['2025-12-25'],,0,,0,2025-12-25,1,hires,3024,4032,12.192768,"['2025-12-25', None, None, '2025-12-25']",B_검출경계,0.5
000288.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000270.jpg,2006-09-03,1,"['까지', '소비기한']",['2006-09-03'],2026-09-03,1,2026-09-03,1,2006-09-03,1,hires,3024,4032,12.192768,"['2006-09-03', '2026-09-03', '2026-09-03', '2006-09-03']",A_날짜불일치,0.5
000467.jpg,,0,[],[],2025-12-26,1,,0,,0,hires,3060,4080,12.4848,"[None, '2025-12-26', None, None]",B_검출경계,0.25
000099.jpg,2026-03-07,1,[],['2026-03-07'],2026-03-07,1,2026-03-07,2,2026-03-07,1,hires,3024,4032,12.192768,"['2026-03-07', '2026-03-07', '2026-03-07', '2026-03-07']",D_전원일치,0.0
000096.jpg,2025-10-26,1,[],['2025-10-26'],2026-05-26,1,,0,,0,hires,3024,4032,12.192768,"['2025-10-26', '2026-05-26', None, None]",A_날짜불일치,0.5
000076.jpg,2026-08-17,1,"['까지', '별도표기', '소비기한', '제조일자']",['2026-08-17'],2026-08-17,1,2026-08-17,1,2026-08-17,1,hires,3024,4032,12.192768,"['2026-08-17', '2026-08-17', '2026-08-17', '2026-08-17']",D_전원일치,0.0
000014.jpg,2025-01-31,1,[],['2025-01-31'],2026-01-31,1,,0,,0,hires,3024,4032,12.192768,"['2025-01-31', '2026-01-31', None, None]",A_날짜불일치,0.5
000338.jpg,2026-05-28,1,['까지'],['2026-05-28'],2026-05-28,1,2026-05-28,1,2026-05-28,1,hires,3024,4032,12.192768,"['2026-05-28', '2026-05-28', '2026-05-28', '2026-05-28']",D_전원일치,0.0
000267.jpg,2026-06-02,1,[],['2026-06-02'],,0,,0,2026-06-02,1,hires,3024,4032,12.192768,"['2026-06-02', None, None, '2026-06-02']",B_검출경계,0.5
000386.jpg,2028-08-10,2,[],"['2025-06-11', '2028-08-10']",,0,,0,2028-08-10,2,hires,3060,4080,12.4848,"['2028-08-10', None, None, '2028-08-10']",B_검출경계,0.5
000371.jpg,2026-02-15,1,['까지'],['2026-02-15'],2026-02-15,1,2026-02-15,1,2026-02-15,1,hires,3024,4032,12.192768,"['2026-02-15', '2026-02-15', '2026-02-15', '2026-02-15']",D_전원일치,0.0
000762.jpg,2026-08-02,1,[],['2026-08-02'],2026-08-02,1,2026-08-02,1,2026-08-02,1,hires,3024,4032,12.192768,"['2026-08-02', '2026-08-02', '2026-08-02', '2026-08-02']",D_전원일치,0.0
000638.jpg,2026-06-16,1,[],['2026-06-16'],2026-06-16,1,2025-05-16,1,2026-06-16,1,hires,1980,3520,6.9696,"['2026-06-16', '2026-06-16', '2025-05-16', '2026-06-16']",A_날짜불일치,0.25
000305.jpg,,0,"['까지', '소비기한']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000751.jpg,2025-05-08,1,[],['2025-05-08'],2025-05-08,1,2025-05-08,1,2025-05-08,1,hires,2255,3007,6.780785,"['2025-05-08', '2025-05-08', '2025-05-08', '2025-05-08']",D_전원일치,0.0
000196.jpg,2027-12-27,1,['까지'],['2027-12-27'],2027-02-27,1,2027-02-27,1,2027-12-27,1,hires,3024,4032,12.192768,"['2027-12-27', '2027-02-27', '2027-02-27', '2027-12-27']",A_날짜불일치,0.5
000499.jpg,2026-05-13,1,['까지'],['2026-05-13'],2026-05-13,1,2026-05-13,1,2026-05-13,1,hires,3060,4080,12.4848,"['2026-05-13', '2026-05-13', '2026-05-13', '2026-05-13']",D_전원일치,0.0
000294.jpg,2025-09-09,1,"['까지', '소비기한', '제조일자']",['2025-09-09'],2025-09-09,1,2025-09-09,1,2025-09-09,1,hires,3024,4032,12.192768,"['2025-09-09', '2025-09-09', '2025-09-09', '2025-09-09']",D_전원일치,0.0
000056.jpg,2026-07-11,2,"['까지', '제조일자']","['2025-07-12', '2026-07-11']",2026-07-11,2,2026-07-11,2,2026-07-11,2,hires,3024,4032,12.192768,"['2026-07-11', '2026-07-11', '2026-07-11', '2026-07-11']",D_전원일치,0.0
000289.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000203.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000189.jpg,2026-08-25,1,[],['2026-08-25'],2026-08-25,1,2026-08-25,1,2026-08-25,1,hires,3024,4032,12.192768,"['2026-08-25', '2026-08-25', '2026-08-25', '2026-08-25']",D_전원일치,0.0
000629.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000777.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000790.jpeg,,0,"['까지', '소비기한', '제조일자']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000277.jpg,2026-07-15,2,"['까지', '부터']","['2025-09-16', '2026-07-15']",2026-07-15,2,2026-07-15,2,2026-07-15,2,hires,3024,4032,12.192768,"['2026-07-15', '2026-07-15', '2026-07-15', '2026-07-15']",D_전원일치,0.0
000151.jpg,,0,[],[],,0,2026-09-07,1,,0,hires,3024,4032,12.192768,"[None, None, '2026-09-07', None]",B_검출경계,0.25
000462.jpg,2027-05-27,1,[],['2027-05-27'],2021-05-27,1,2027-05-27,1,2027-05-27,1,hires,3060,4080,12.4848,"['2027-05-27', '2021-05-27', '2027-05-27', '2027-05-27']",A_날짜불일치,0.25
000164.jpg,,0,['까지'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000808.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000357.jpg,2027-08-11,1,[],['2027-08-11'],2027-08-11,1,2027-08-11,1,2027-08-11,1,hires,3024,4032,12.192768,"['2027-08-11', '2027-08-11', '2027-08-11', '2027-08-11']",D_전원일치,0.0
000473.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000501.jpg,2026-02-24,1,['까지'],['2026-02-24'],2026-02-24,1,2026-02-24,1,2026-02-24,1,hires,3060,4080,12.4848,"['2026-02-24', '2026-02-24', '2026-02-24', '2026-02-24']",D_전원일치,0.0
000071.jpg,2027-07-20,2,['까지'],"['2025-07-21', '2027-07-20']",2027-07-20,2,2027-07-20,2,2027-07-20,2,hires,3024,4032,12.192768,"['2027-07-20', '2027-07-20', '2027-07-20', '2027-07-20']",D_전원일치,0.0
000353.jpg,,0,"['까지', '별도표기', '소비기한']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000756.jpg,2027-02-24,1,['까지'],['2027-02-24'],2027-02-24,1,2027-02-24,1,2027-02-24,1,hires,1980,3520,6.9696,"['2027-02-24', '2027-02-24', '2027-02-24', '2027-02-24']",D_전원일치,0.0
000389.jpg,2026-02-27,1,[],['2026-02-27'],2026-02-27,1,2026-02-27,1,2026-02-27,1,hires,3060,4080,12.4848,"['2026-02-27', '2026-02-27', '2026-02-27', '2026-02-27']",D_전원일치,0.0
000817.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000830.jpeg,,0,[],[],2025-12-20,1,,0,,0,hires,3024,4032,12.192768,"[None, '2025-12-20', None, None]",B_검출경계,0.25
000399.jpg,2027-01-31,1,[],['2027-01-31'],2027-01-31,1,,0,2027-01-31,1,hires,3060,4080,12.4848,"['2027-01-31', '2027-01-31', None, '2027-01-31']",B_검출경계,0.25
000853.jpeg,2026-09-24,1,[],['2026-09-24'],2026-08-24,1,,0,2026-09-24,1,hires,3024,4032,12.192768,"['2026-09-24', '2026-08-24', None, '2026-09-24']",A_날짜불일치,0.5
000377.jpg,2026-07-01,1,['까지'],['2026-07-01'],,0,,0,2026-07-01,1,hires,3024,4032,12.192768,"['2026-07-01', None, None, '2026-07-01']",B_검출경계,0.5
000020.jpg,2025-10-09,1,['까지'],['2025-10-09'],2025-10-09,1,,0,2025-10-09,1,hires,3024,4032,12.192768,"['2025-10-09', '2025-10-09', None, '2025-10-09']",B_검출경계,0.25
000205.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000442.jpg,,0,"['까지', '별도표기', '소비기한', '제조일자']",[],,0,2025-11-30,1,,0,hires,3060,4080,12.4848,"[None, None, '2025-11-30', None]",B_검출경계,0.25
000069.jpg,2026-06-24,1,['까지'],['2026-06-24'],2026-06-24,1,2026-06-24,1,2026-06-24,1,hires,4284,5712,24.470208,"['2026-06-24', '2026-06-24', '2026-06-24', '2026-06-24']",D_전원일치,0.0
000281.jpg,2035-08-27,2,[],"['2026-07-15', '2035-08-27']",2035-08-27,2,2035-08-27,2,2035-08-27,2,hires,3024,4032,12.192768,"['2035-08-27', '2035-08-27', '2035-08-27', '2035-08-27']",D_전원일치,0.0
000104.jpg,2026-04-01,1,[],['2026-04-01'],2026-04-01,1,2026-04-01,1,,0,hires,3024,4032,12.192768,"['2026-04-01', '2026-04-01', '2026-04-01', None]",B_검출경계,0.25
000448.jpg,2026-08-20,1,[],['2026-08-20'],2026-08-20,1,2026-08-20,1,2026-08-20,1,hires,3060,4080,12.4848,"['2026-08-20', '2026-08-20', '2026-08-20', '2026-08-20']",D_전원일치,0.0
000478.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000786.jpeg,,0,"['유통기한', '제조일자']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000626.jpg,,0,[],[],,0,2025-07-01,1,,0,hires,3024,4032,12.192768,"[None, None, '2025-07-01', None]",B_검출경계,0.25
000382.jpg,,0,"['까지', '소비기한']",[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000176.jpg,2026-09-22,2,['까지'],"['2025-09-23', '2026-09-22']",2026-09-22,2,2026-09-22,2,2026-09-22,2,hires,3024,4032,12.192768,"['2026-09-22', '2026-09-22', '2026-09-22', '2026-09-22']",D_전원일치,0.0
000135.jpg,2026-04-18,1,[],['2026-04-18'],2026-04-18,1,2026-04-18,1,2026-04-18,1,hires,3024,4032,12.192768,"['2026-04-18', '2026-04-18', '2026-04-18', '2026-04-18']",D_전원일치,0.0
000032.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000336.jpg,2025-11-20,1,['까지'],['2025-11-20'],2025-11-20,1,2025-11-20,1,2025-11-20,1,hires,3024,4032,12.192768,"['2025-11-20', '2025-11-20', '2025-11-20', '2025-11-20']",D_전원일치,0.0
000298.jpg,2026-09-11,1,['소비기한'],['2026-09-11'],2026-09-11,1,2026-09-11,1,2026-09-11,1,hires,3024,4032,12.192768,"['2026-09-11', '2026-09-11', '2026-09-11', '2026-09-11']",D_전원일치,0.0
000307.jpg,2025-11-14,1,['까지'],['2025-11-14'],2025-11-14,1,2025-11-14,1,2025-11-14,1,hires,3024,4032,12.192768,"['2025-11-14', '2025-11-14', '2025-11-14', '2025-11-14']",D_전원일치,0.0
000387.jpg,2027-01-21,1,"['까지', '소비기한']",['2027-01-21'],,0,,0,,0,hires,3060,4080,12.4848,"['2027-01-21', None, None, None]",B_검출경계,0.25
000492.jpg,2026-05-12,1,['까지'],['2026-05-12'],,0,,0,,0,hires,3060,4080,12.4848,"['2026-05-12', None, None, None]",B_검출경계,0.25
000255.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000260.jpg,2027-04-01,1,[],['2027-04-01'],2027-04-01,1,2027-04-01,1,2027-04-01,1,hires,4284,5712,24.470208,"['2027-04-01', '2027-04-01', '2027-04-01', '2027-04-01']",D_전원일치,0.0
000118.jpg,,0,[],[],,0,2025-06-20,1,,0,hires,3024,4032,12.192768,"[None, None, '2025-06-20', None]",B_검출경계,0.25
000190.jpg,,0,[],[],2022-11-26,1,2022-11-26,1,,0,hires,3024,4032,12.192768,"[None, '2022-11-26', '2022-11-26', None]",B_검출경계,0.5
000232.jpg,,0,['제조일자'],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000094.jpg,,0,[],[],,0,2022-05-30,1,,0,hires,3024,4032,12.192768,"[None, None, '2022-05-30', None]",B_검출경계,0.25
000633.jpg,2025-12-24,1,['소비기한'],['2025-12-24'],,0,2025-12-24,1,2025-12-24,1,hires,1980,3520,6.9696,"['2025-12-24', None, '2025-12-24', '2025-12-24']",B_검출경계,0.25
000378.jpg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000006.jpg,,0,['까지'],[],2026-02-17,1,2026-02-17,1,,0,hires,3024,4032,12.192768,"[None, '2026-02-17', '2026-02-17', None]",B_검출경계,0.5
000432.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000012.jpg,2026-03-23,1,"['까지', '소비기한']",['2026-03-23'],2026-03-23,1,2026-03-23,1,2026-03-23,1,hires,3024,4032,12.192768,"['2026-03-23', '2026-03-23', '2026-03-23', '2026-03-23']",D_전원일치,0.0
000490.jpg,2025-11-27,1,['까지'],['2025-11-27'],2025-11-27,1,2025-11-27,1,2025-11-27,1,hires,3060,4080,12.4848,"['2025-11-27', '2025-11-27', '2025-11-27', '2025-11-27']",D_전원일치,0.0
000827.jpeg,,0,"['BEST_BEFORE', '까지', '제조일자']",[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000424.jpg,2026-03-28,1,[],['2026-03-28'],,0,,0,2026-03-28,1,hires,3060,4080,12.4848,"['2026-03-28', None, None, '2026-03-28']",B_검출경계,0.5
000178.jpg,2026-06-25,2,['부터'],"['2025-09-26', '2026-06-25']",2026-06-25,2,2026-06-25,2,2026-06-25,2,hires,3024,4032,12.192768,"['2026-06-25', '2026-06-25', '2026-06-25', '2026-06-25']",D_전원일치,0.0
000798.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000631.jpg,2025-11-15,1,[],['2025-11-15'],2025-11-15,1,2025-11-15,1,2025-11-15,1,hires,1980,3520,6.9696,"['2025-11-15', '2025-11-15', '2025-11-15', '2025-11-15']",D_전원일치,0.0
