image_id,year,month,day,final_date,split,source_file
002850,2021,08,15,2021-08-15,tuning,002850.jpg
002857,2023,06,02,2023-06-02,holdout1,002857.jpg
002881,2021,04,13,2021-04-13,holdout2,002881.jpg
002892,2021,03,31,2021-03-31,tuning,002892.jpg
002896,2021,07,20,2021-07-20,holdout1,002896.jpg
002903,NONE,NONE,NONE,NONE,holdout1,002903.jpg
002934,2022,02,02,2022-02-02,holdout2,002934.jpg
002944,NONE,NONE,NONE,NONE,tuning,002944.jpg
002946,2021,09,25,2021-09-25,tuning,002946.jpg
002950,2021,04,30,2021-04-30,holdout2,002950.jpg
002953,2020,05,28,2020-05-28,holdout2,002953.jpg
002996,2022,10,15,2022-10-15,holdout2,002996.jpg
002997,2022,10,15,2022-10-15,holdout2,002997.jpg
003001,2021,12,05,2021-12-05,tuning,003001.jpg
003009,2021,10,05,2021-10-05,holdout2,003009.jpg
003024,2021,09,13,2021-09-13,holdout2,003024.jpg
003028,2021,09,28,2021-09-28,tuning,003028.jpg
003043,2020,07,13,2020-07-13,holdout2,003043.jpg
003045,2022,05,02,2022-05-02,tuning,003045.jpg
003080,2021,11,01,2021-11-01,holdout1,003080.jpg
003082,2021,12,02,2021-12-02,tuning,003082.jpg
003091,2021,09,17,2021-09-17,holdout2,003091.jpg
003100,2022,11,21,2022-11-21,holdout2,003100.jpg
003143,2021,12,11,2021-12-11,holdout2,003143.jpg
003155,2021,07,11,2021-07-11,holdout2,003155.jpg
003171,2021,11,11,2021-11-11,holdout2,003171.jpg
003174,2022,08,13,2022-08-13,tuning,003174.jpg
003180,2021,07,08,2021-07-08,holdout2,003180.jpg
003192,2021,11,19,2021-11-19,tuning,003192.jpg
003197,2022,11,05,2022-11-05,holdout2,003197.jpg
003201,2022,09,21,2022-09-21,holdout2,003201.jpg
003202,2021,10,NONE,2021-10-NONE,holdout2,003202.jpg
003203,2021,10,NONE,2021-10-NONE,holdout2,003203.jpg
003210,2022,12,02,2022-12-02,holdout1,003210.jpg
003218,2021,03,16,2021-03-16,holdout2,003218.jpg
003226,2022,01,29,2022-01-29,holdout2,003226.jpg
003233,2021,09,21,2021-09-21,holdout2,003233.jpg
003246,2021,08,15,2021-08-15,holdout2,003246.jpg
003257,2022,04,01,2022-04-01,holdout2,003257.jpg
003272,2021,05,03,2021-05-03,holdout1,003272.jpg
003282,2022,12,21,2022-12-21,holdout1,003282.jpg
003292,2022,12,02,2022-12-02,tuning,003292.jpg
003314,2021,07,05,2021-07-05,holdout2,003314.jpg
003317,2022,02,07,2022-02-07,holdout1,003317.jpg
003331,2021,11,03,2021-11-03,holdout2,003331.jpg
003334,2021,10,30,2021-10-30,holdout2,003334.jpg
003341,2022,09,29,2022-09-29,tuning,003341.jpg
3346,2026,09,10,2026-09-10,holdout2,3346.jpeg
3352,2025,12,09,2025-12-09,tuning,3352.jpeg
